ime,pozicija,starost,odigrane_tekme,prva_postava,igralni_cas,uspesni_meti,poskusi_metov,procent_metov,meti_za_tri,poskusi_za_tri,procent_za_tri,met_za_dve,poskus_za_dve,procent_za_dve
Alex Abrines,SG,24,75,8,15.1,1.5,3.9,.395,1.1,2.9,.380,0.4,0.9,.443
Quincy Acy,PF,27,70,8,19.4,1.9,5.2,.356,1.5,4.2,.349,0.4,1.0,.384
Steven Adams,C,24,76,76,32.7,5.9,9.4,.629,0.0,0.0,.000,5.9,9.3,.631
Bam Adebayo,C,20,69,19,19.8,2.5,4.9,.512,0.0,0.1,.000,2.5,4.8,.523
Arron Afflalo,SG,32,53,3,12.9,1.2,3.1,.401,0.5,1.3,.386,0.7,1.7,.413
Cole Aldrich,C,29,21,0,2.3,0.2,0.7,.333,0.0,0.0,,0.2,0.7,.333
LaMarcus Aldridge,C,32,75,75,33.5,9.2,18.0,.510,0.4,1.2,.293,8.8,16.7,.526
Jarrett Allen,C,19,72,31,20.0,3.3,5.5,.589,0.1,0.2,.333,3.2,5.3,.599
Kadeem Allen,PG,25,18,1,5.9,0.3,1.2,.273,0.0,0.6,.000,0.3,0.6,.545
Tony Allen,SF,36,22,0,12.4,2.0,4.1,.484,0.2,0.5,.333,1.8,3.6,.506
